Name/ID,Vertical,Industry,Total BRR Currency, Total BRR ,Service Name,Number of Services,Bandwidth,,State A,State Z,Service Status,Term, Total MRR ,Vertical,Industry,EmployeeQuantityGrowthRate,SalesTurnoverGrowthRate,PriorYearEmployees, PriorYearRevenue , SalesVolume ,SmallBusiness
11252,Commercial Systems Integrator,Professional Services,USD, $ 406.00 ,270363,2,N/A,Colocation,TX,,Pending Change,12, $ 303.87 ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11253,Commercial Systems Integrator,Professional Services,USD, $ 410.00 ,242555,3,DS0,Interconnect,TX,TX,Disconnected,12, $ -   ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11388,Internet Content & Software,Media & Content,USD, $ 892.00 ,247124,1,100Mb,DIA,TN,,Active,36, $ 917.06 ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11410,Finance,Finance,USD, $ -   ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Finance,Finance,0,0,2," $ 102,504.42 "," $ 102,504.42 ",Y
11479,Regional Carrier/ISP,Telecommunications,USD," $ 1,290.00 ",280415,1,200Mb,DIA,KS,,Active,24," $ 1,331.67 ",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11506,Consulting / Other Professional Services,Professional Services,USD," $ 1,034.00 ",254929,2,,Colocation,TX,TX,Active,1, $ 534.00 ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11541,Internet Content & Software,Media & Content,USD, $ 135.00 ,269724,2,100Mb,DIA,TX,,Active,36, $ 126.30 ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11573,Non-Healthcare Insurance,Other Enterprise,USD, $ -   ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Non-Healthcare Insurance,Other Enterprise,0,0,44," $ 9,199,114.82 "," $ 9,199,114.82 ",Y
11619,Real Estate / Construction,Other Enterprise,USD, $ 795.00 ,237007,1,50Mb,DIA,MD,,Active,12, $ 795.36 ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11634,Colo/Hosting,Data Center & Cloud Services,USD, $ 775.00 ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11784,Regional Carrier/ISP,Telecommunications,USD," $ 1,020.00 ",190000,1,50Mb,DIA,,,Active,36," $ 1,019.50 ",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11850,Oil & Gas,Energy & Manufacturing,USD, $ -   ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Oil & Gas,Energy & Manufacturing,0,0,50, $ -   ," $ 38,979,817.93 ",N
