Name/ID,Vertical,Industry,Total BRR Currency,Total BRR,Service Name,Number of Services,Bandwidth,Product,State A,State Z,Service Status,Term,Total MRR,EmployeeQuantityGrowthRate,SalesTurnoverGrowthRate,PriorYearEmployees,PriorYearRevenue,SalesVolume,SmallBusiness
13456,Consulting / Other Professional Services,Professional Services,USD,1244,267324,2,N/A,Colocation,GA,,Active,12,1210,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13512,Internet Content & Software,Media & Content,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,-0.083333,1,157699.11,144557.52,Y
13517,Colo/Hosting,Data Center & Cloud Services,USD,100,258972,4,N/A,Colocation,TX,,Active,1,138.64,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13527,Higher Education,Research & Education,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13587,Utilities,Energy & Manufacturing,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,3,210265.48,210265.48,N
13595,Regional Carrier/ISP,Telecommunications,USD,529,22273,6,,Colocation,IN,,Disconnected,480,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13605,Consulting / Other Professional Services,Professional Services,USD,879,263693,2,,Colocation,TX,,Active,30,878.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13636,Regional Carrier/ISP,Telecommunications,USD,554,222070,1,20Mb,DIA,TX,,Active,36,553.85,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13665,Finance,Finance,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,55,3942477.78,3942477.78,Y
13746,Manufacturing,Energy & Manufacturing,USD,1266,286530,3,FE (Cat5),Interconnect,IL,IL,Active,24,100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13808,Internet Content & Software,Media & Content,USD,50,300355,3,N/A,Cloud IaaS,CO,,Disconnected,24,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13884,Internet Content & Software,Media & Content,USD,395,242119,2,,Colocation,TX,,Active,12,415.83,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13895,Real Estate / Construction,Other Enterprise,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,$ -,$ -,N
13961,Regional Carrier/ISP,Telecommunications,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0.016667,6,788495.56,801637.15,Y
13971,RLEC,Telecommunications,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,7,274389.88,274389.88,N
13972,Hospitality,Other Enterprise,USD,1200,282995,2,N/A,Colocation,VA,,Pending Disconnect,36,900,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14113,Internet Content & Software,Media & Content,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,$ -,4634807.1,N
14172,Regional Carrier/ISP,Telecommunications,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,2,249690.26,249690.26,Y
14180,Internet Content & Software,Media & Content,USD,98,255717,4,10Mb,DIA,TX,TX,Active,1,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14181,Non-Healthcare Insurance,Other Enterprise,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0.630487,3,407389.37,664243.11,N
14194,Higher Education,Research & Education,USD,157,258774,2,N/A,Colocation,TX,,Active,1,153.88,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14228,Colo/Hosting,Data Center & Cloud Services,USD,1160,254703,2,N/A,Colocation,TX,TX,Active,12,872,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14235,Media,Media & Content,USD,49,255424,2,10Mb,DIA,TX,TX,Active,1,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14259,Federal Government,Government,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0.164976,469,106858733.9,124487807.2,N
14288,Oil & Gas,Energy & Manufacturing,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,1.676839,700,112360616.7,300771288.2,N
14359,Consulting / Other Professional Services,Professional Services,USD,956,226615,1,50Mb,DIA,CA,,Active,1,955.78,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14410,Colo/Hosting,Data Center & Cloud Services,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,-0.101873,20,3416814.08,3068731.4,N
14417,Finance,Finance,USD,1007,230277,1,100Mb,DIA,MA,,Active,36,1007,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14438,Consulting / Other Professional Services,Professional Services,USD,499,255084,2,N/A,Colocation,TX,TX,Active,12,499,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14458,Healthcare,Healthcare,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0.499768,65,7490707.78,11234326.98,Y
14465,Consulting / Other Professional Services,Professional Services,USD,1325,244358,1,100Mb,DIA,VA,,Active,36,1325.35,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14472,Healthcare,Healthcare,USD,1057,221546,1,50Mb,DIA,CA,,Active,12,1057.35,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14482,Consulting / Other Professional Services,Professional Services,USD,578,246674,2,N/A,Colocation,AZ,,Active,12,577.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14543,Real Estate / Construction,Other Enterprise,USD,561,237645,1,20Mb,DIA,CA,,Active,36,560.73,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14567,Media,Media & Content,USD,1223,16366,2,DS1,Private Line,MN,MN,Active,24,193.34,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14653,Asset Management / Hedge Fund,Finance,USD,419,254538,3,,Colocation,TX,TX,Active,1,419,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14693,Higher Education,Research & Education,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,-0.01525,2000,$ -,412417343.9,N
14704,Regional Carrier/ISP,Telecommunications,USD,582,250997,2,Fiber Pair,Interconnect,IA,IA,Active,60,264.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14709,National Carrier/ISP,Telecommunications,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14744,Consulting / Other Professional Services,Professional Services,USD,1274,237023,2,100Mb,ELine,MD,,Disconnected,32,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14848,Consulting / Other Professional Services,Professional Services,USD,960,233640,14,DS1,Private Line,GA,GA,Disconnected,12,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14857,Colo/Hosting,Data Center & Cloud Services,USD,405,255158,2,20Mb,DIA,TX,TX,Active,1,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14895,Commercial Systems Integrator,Professional Services,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,-0.2,12,1971238.89,1576991.11,Y
14925,Healthcare,Healthcare,USD,222,173190,4,N/A,Dark Fiber,IN,,Active,240,86.96,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14940,Regional Carrier/ISP,Telecommunications,USD,382,215038,1,N/A,Dark Fiber,TN,,Active,240,1382.46,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14985,Consulting / Other Professional Services,Professional Services,USD,663,247118,1,40Mb,DIA,CA,,Active,36,662.67,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
15053,Internet Content & Software,Media & Content,USD,1104,267551,3,1Mb,DIA,GA,,Active,24,13.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
15054,Media,Media & Content,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,6,1576991.11,1576991.11,Y
